SVC_NUM,DIR,ROUT_SEQ,BS_CODE,DISTANCE
167,2,48,56021,19.7
167,2,49,56031,20.2
167,2,50,56041,20.5
167,2,51,56051,20.9
167,2,52,56061,21.3
167,2,53,56071,21.7
167,2,54,56081,22.3
167,2,55,56091,23
167,2,56,57011,23.3
167,2,57,57021,23.8
167,2,58,57031,24.2
167,2,59,57041,24.7
167,2,60,57051,25.2
167,2,61,57061,25.7
167,2,62,57071,26.3
167,2,63,57081,26.6
167,2,64,57111,27
167,2,65,57121,27.3
167,2,66,57131,27.8
167,2,67,58011,28.2
167,2,68,58021,28.4
167,2,69,58339,29.3
167,2,70,58159,29.8
167,2,71,58009,30.2
169,1,1,46009,0
169,1,2,46271,0.8
169,1,3,46269,1.1
169,1,4,46451,1.6
169,1,5,46461,2.2
169,1,6,46471,2.7
169,1,7,46481,3.1
169,1,8,46721,3.5
169,1,9,46711,3.8
169,1,10,47071,4.3
169,1,11,47821,4.9
169,1,12,47811,5.3
169,1,13,47801,5.8
169,1,14,58141,6.2
169,1,15,58161,6.7
169,1,16,58171,7.1
169,1,17,58181,7.4
169,1,18,58191,7.7
169,1,19,58201,8.2
169,1,20,58069,8.6
169,1,21,58059,9
169,1,22,58049,9.3
169,1,23,59529,10.6
169,1,24,59259,11
169,1,25,59099,11.5
169,1,26,59073,12
169,1,27,59069,12.2
169,1,28,59339,12.8
169,1,29,59549,13.2
169,1,30,59559,13.5
169,1,31,57079,14
169,1,32,57069,14.6
169,1,33,57059,15.1
169,1,34,57049,15.6
169,1,35,57039,16.2
169,1,36,57029,16.5
169,1,37,57019,16.9
169,1,38,56099,17.3
169,1,39,56089,17.9
169,1,40,56079,18.5
169,1,41,56069,19
169,1,42,56059,19.4
169,1,43,56049,19.8
169,1,44,56039,20.1
169,1,45,56029,20.5
169,1,46,56019,21
169,1,47,56261,21.5
169,1,48,54061,21.8
169,1,49,54211,22.2
169,1,50,54221,22.6
169,1,51,54231,22.9
169,1,52,54241,23.4
169,1,53,54009,23.9
169,2,1,54009,0
169,2,2,54247,0.5
169,2,3,54239,0.9
169,2,4,54229,1.3
169,2,5,54219,1.7
169,2,6,54069,2.2
169,2,7,56269,2.4
169,2,8,56021,3.3
169,2,9,56031,3.8
169,2,10,56041,4.1
169,2,11,56051,4.5
169,2,12,56061,4.9
169,2,13,56071,5.3
169,2,14,56081,5.9
169,2,15,56091,6.6
169,2,16,57011,6.9
169,2,17,57021,7.4
169,2,18,57031,7.8
169,2,19,57041,8.3
169,2,20,57051,8.8
169,2,21,57061,9.3
169,2,22,57071,9.9
169,2,23,59551,10.3
169,2,24,59541,10.6
169,2,25,59331,10.9
169,2,26,59061,11.4
169,2,27,59079,11.8
169,2,28,59091,12.1
169,2,29,59251,12.7
169,2,30,59521,13.2
169,2,31,58041,14.4
169,2,32,58051,14.6
169,2,33,58061,15
169,2,34,58209,15.3
169,2,35,58199,15.8
169,2,36,58189,16
169,2,37,58179,16.3
169,2,38,58169,16.6
169,2,39,58149,17
169,2,40,47809,17.5
169,2,41,47819,17.9
169,2,42,47829,18.4
169,2,43,47079,18.9
169,2,44,46719,19.4
169,2,45,46729,19.8
169,2,46,46489,20.2
169,2,47,46479,20.6
169,2,48,46469,21
169,2,49,46459,21.7
169,2,50,46261,22
169,2,51,46279,22.4
169,2,52,46009,23
171,1,1,59009,0
171,1,2,59141,0.8
171,1,3,59111,1.2
171,1,4,57089,1.7
171,1,5,57079,2.1
171,1,6,57069,2.7
171,1,7,57059,3.2
171,1,8,48149,5
